,source,pre_emissions,pre_emissions_lower,pre_emissions_upper,ue_emissions,ue_emissions_lower,ue_emissions_upper,total_emissions,total_emissions_lower,total_emissions_upper
15,CH4_1B2_250m_-101.82795_31.43289?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,78149680.36049515,3790469.8159689507,3790469.8159689507,938967.1222501149,842953.1426237108,3859862.576672723,79088647.48274526,3883069.8456802038,5409824.446002873
16,CH4_1B2_250m_-101.83636_32.29779?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,21068200.852095,1740035.135095,1740035.135095,1376458.8853368955,1264413.7418404797,4622619.8252594825,22444659.737431895,2150921.7516962625,4939264.755026509
17,CH4_1B2_250m_-101.87908_31.97790?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1239205.3036361448,346708.7824024677,346708.7824024677,2671815.732013857,2404942.795703087,7001166.198057814,3911021.035650002,2429805.9244308346,7009745.723820679
18,CH4_1B2_250m_-101.90589_31.82708?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,9278726.696085973,2880959.870406212,2880959.870406212,822582.5743680609,751537.6584580468,2861629.832463787,10101309.270454034,2977371.0932585443,4060647.124897422
19,CH4_1B2_250m_-101.91350_32.21287?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,48200714.20976,3122644.1964447,3122644.1964447,1501754.3652065368,1372468.4360486192,4842073.479201535,49702468.57496654,3410949.48446023,5761647.538298106
20,CH4_1B2_250m_-101.97851_31.66960?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,53385744.10605244,4015564.521433033,4015564.521433033,483672.9933142125,451509.933688916,2249938.188863705,53869417.09936666,4040868.6746801697,4602931.704848443
21,CH4_1B2_250m_-101.98140_32.26413?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,38885839.7631266,5344219.156957968,5344219.156957968,780707.0553435595,715453.2756773755,2684346.774478564,39666546.81847016,5391896.863560543,5980501.317051105
22,CH4_1B2_250m_-101.99482_32.20095?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,23602340.37399557,2528418.8606156013,2528418.8606156013,742369.5671488775,689116.6783346435,2838405.7808484184,24344709.941144448,2620645.6706460086,3801243.127119129
23,CH4_1B2_250m_-102.11606_31.89694?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1258188.5891976787,177141.0007087027,177141.0007087027,2705421.7507361392,2330516.8825609246,9617789.1572511,3963610.339933818,2337239.370289995,9619420.315563142
24,CH4_1B2_250m_-102.19187_30.84353?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,6838715.9445955735,2900243.6453878004,2900243.6453878004,516301.7558595082,466045.23965782614,2116328.32042164,7355017.700455082,2937449.8068937347,3590300.650701971
25,CH4_1B2_250m_-102.51816_32.01441?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2144465.878878024,113744.20346135915,113744.20346135915,2794786.5986907748,2315205.756339971,6676942.935889518,4939252.477568799,2317998.1531508598,6677911.702991138
26,CH4_1B2_250m_-102.92380_30.99817?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3174185.180811273,1191695.7775654504,1191695.7775654504,1971940.1564091821,1746428.3860185994,7489745.245465202,5146125.337220455,2114273.1454944164,7583958.24541749
27,CH4_1B2_250m_-102.98649_30.98850?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,6203479.054177029,1532936.2001572794,1532936.2001572794,2059374.0831587226,1825159.4351916544,5745855.630338386,8262853.137335751,2383505.896284244,5946826.911760924
28,CH4_1B2_250m_-103.04458_31.94752?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2379918.729269061,202647.30761927573,202647.30761927573,2572937.1867170525,2239844.4944737554,7836185.847083459,4952855.915986113,2248992.950346829,7838805.684625461
29,CH4_1B2_250m_-103.18725_32.41777?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1288127.683860397,681231.0192295937,681231.0192295937,1823905.6657204935,1628847.8153654905,6425340.728791901,3112033.3495808905,1765565.3222640965,6461352.736279968
30,CH4_1B2_250m_-103.20711_32.05328?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,176.64056268483333,50.28421409863056,50.28421409863056,3175347.1047516773,2589124.1516495124,9445568.907319285,3175523.745314362,2589124.1521378052,9445568.90745313
31,CH4_1B2_250m_-103.20813_32.10361?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1113656.3127522604,355746.44011550467,355746.44011550467,895115.7284570393,813309.0645609964,3255518.583344445,2008772.0412092996,887708.9411242502,3274897.979503465
32,CH4_1B2_250m_-103.21104_32.41632?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1281249.3769524933,538170.9019821,538170.9019821,1938173.7195553835,1690593.9923885714,5156561.483634166,3219423.096507877,1774186.0011961982,5184568.85905083
33,CH4_1B2_250m_-103.21270_32.33083?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,625029.9052723068,154005.75011913734,154005.75011913734,2206240.262839007,2025878.6553383577,7000213.876982828,2831270.168111314,2031723.9224917619,7001907.746791064
34,CH4_1B2_250m_-103.21652_32.58520?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1117816.686307347,326210.26915994665,326210.26915994665,1651624.114187717,1441703.7414870178,5112802.361746708,2769440.800495064,1478148.4424519313,5123198.330143791
35,CH4_1B2_250m_-103.21889_32.20663?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,694379.65431192,174070.0007012267,174070.0007012267,2197206.5926572788,2018124.7605817637,4736950.5650529545,2891586.246969199,2025617.9092852941,4740147.784710897
36,CH4_1B2_250m_-103.22001_32.20887?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2682501.7460139534,1125730.5070986534,1125730.5070986534,2116005.331965458,1894263.5047524408,4775302.814080663,4798507.077979412,2203520.6829184955,4906198.7465633
37,CH4_1B2_250m_-103.22485_32.20221?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1197174.8847606867,322486.9720775433,322486.9720775433,2057388.5958168337,1763250.1099415019,5883272.733912426,3254563.48057752,1792497.921161545,5892104.53987004
38,CH4_1B2_250m_-103.22805_32.22448?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,656361.3215247833,51340.69126306366,51340.69126306366,1897103.913976661,1716913.6021403738,6233167.995367828,2553465.235501444,1717681.0483305692,6233379.430538233
39,CH4_1B2_250m_-103.23563_32.24674?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,892853.1972303599,413468.18295979337,413468.18295979337,1850401.9394428392,1618387.6622689036,6077625.878342232,2743255.136673199,1670369.5889545763,6091674.01092797
40,CH4_1B2_250m_-103.24238_32.28316?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1429706.74283813,471132.71438249,471132.71438249,2039484.8414304364,1830113.6227227373,5124235.053106375,3469191.584268566,1889783.560791223,5145847.9295491725
41,CH4_1B2_250m_-103.24456_32.48908?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,807432.9376177333,412970.98155624996,412970.98155624996,1817296.8687644599,1556963.8954886014,7128777.635861691,2624729.806382193,1610801.5406817107,7140729.347424487
42,CH4_1B2_250m_-103.24676_32.29010?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1269736.2629482197,484825.22729315463,484825.22729315463,1838702.109277882,1580789.1210801294,5051923.983565796,3108438.3722261013,1653465.979796726,5075134.622524526
43,CH4_1B2_250m_-103.24727_31.01132?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,7950533.317005184,2253881.584040341,2253881.584040341,1389301.4403456752,1239987.0320644737,5050374.376344247,9339834.757350858,2572459.918942229,5530484.92775369
44,CH4_1B2_250m_-103.25119_32.30745?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,773098.8518196867,174366.60016422192,174366.60016422192,2189168.7296622125,1949176.6714402991,6421324.914972988,2962267.581481899,1956960.2468471131,6423691.88044583
45,CH4_1B2_250m_-103.25858_32.57445?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,326.8858656917778,78.60941364382222,78.60941364382222,3159107.240986262,2566653.168516874,8868982.692033622,3159434.1268519536,2566653.169720667,8868982.692381995
46,CH4_1B2_250m_-103.27009_32.42873?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1120729.9937672794,511852.94655321527,511852.94655321527,1996871.2196336035,1788914.2105121422,7119857.888749681,3117601.2134008827,1860700.806542387,7138232.96025608
47,CH4_1B2_250m_-103.27218_32.43988?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,735801.4449019843,197310.80933762723,197310.80933762723,1949688.2723715783,1749285.3094799875,7787644.857130668,2685489.7172735627,1760377.9848214318,7790144.027954503
48,CH4_1B2_250m_-103.27604_32.42865?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,409.041683055,114.09862529700001,114.09862529700001,3305635.3722583205,2851376.6444177344,7080122.977651218,3306044.4139413754,2851376.6467005783,7080122.978570588
49,CH4_1B2_250m_-103.28332_32.51535?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,306208.8107838283,129633.66262171342,129633.66262171342,1843334.841902331,1579086.7225783677,7398129.410894871,2149543.652686159,1584398.8651561232,7399265.076129683
50,CH4_1B2_250m_-103.29712_32.39828?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,6217.840337940001,3142.6906618800003,3142.6906618800003,3101681.0290373713,2500843.4771249252,7235468.458626045,3107898.8693753113,2500845.451758841,7235469.141132242
51,CH4_1B2_250m_-103.31693_32.02059?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3124326.6881176545,1604839.5659127042,1604839.5659127042,3101681.0290373713,2500843.4771249252,7235468.458626045,3124326.6881176545,1604839.5659127042,1604839.5659127042
52,CH4_1B2_250m_-103.32507_32.50418?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1068406.3108400966,439844.85980299395,439844.85980299395,1949033.0525607998,1655252.0567050227,6408143.829945548,3017439.363400896,1712694.6230783009,6423221.220381898
53,CH4_1B2_250m_-103.33810_32.16647?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1081455.4253461862,599703.2540925426,599703.2540925426,1967352.7705985717,1714994.9975908664,5284332.643954796,3048808.195944758,1816824.657123213,5318253.04822321
54,CH4_1B2_250m_-103.37617_32.17718?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,657608.13274741,274025.4686321812,274025.4686321812,1972006.857982021,1831974.4970489219,5251118.961031493,2629614.990729431,1852355.3965955714,5258264.000634007
55,CH4_1B2_250m_-103.37921_32.29459?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,554570.7870117044,328842.7409349747,328842.7409349747,1819869.302207924,1688645.4497232495,5403291.920143632,2374440.0892196284,1720366.5316253577,5413289.307117724
56,CH4_1B2_250m_-103.38243_32.44133?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,359847.84433534404,78627.99326411437,78627.99326411437,1990958.3341298099,1744321.2167231946,6079632.541311022,2350806.178465154,1746092.4570123507,6080140.968653001
57,CH4_1B2_250m_-103.39023_32.02887?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,233.48400598424996,78.49948937763332,78.49948937763332,3063262.109261796,2659228.2874350734,9060243.285925055,3063495.5932677803,2659228.2885937123,9060243.286265122
58,CH4_1B2_250m_-103.39443_32.47774?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,617997.427850112,134585.986436603,134585.986436603,2057510.960047356,1856407.7601974155,5703685.094574531,2675508.387897468,1861279.9789033078,5705272.740703707
59,CH4_1B2_250m_-103.40521_32.20244?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,141.6493634963889,49.87926400346112,49.87926400346112,2863994.1738240663,2396439.331845994,9120253.549107557,2864135.8231875626,2396439.3323650854,9120253.549243953
60,CH4_1B2_250m_-103.40917_32.02236?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,37896.44065814091,9842.840899355158,9842.840899355158,2777107.499097438,2256357.023173213,9362985.35270657,2815003.939755579,2256378.4916409864,9362990.526349727
61,CH4_1B2_250m_-103.41150_32.35437?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,650681.5951279745,170689.09482501107,170689.09482501107,2132557.217414979,1936988.2463098867,6313497.748775683,2783238.8125429535,1944494.338751037,6315804.666935782
62,CH4_1B2_250m_-103.41294_32.19644?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,99979.39402502742,32751.016257787636,32751.016257787636,1987781.1902500496,1770383.346422902,5691231.937082059,2087760.584275077,1770686.257459935,5691326.171528804
63,CH4_1B2_250m_-103.44043_32.23849?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,655267.2052660919,189600.6429498893,189600.6429498893,1922165.9509246913,1671733.064839467,5837595.005363423,2577433.1561907833,1682450.5472329846,5840673.236062004
64,CH4_1B2_250m_-103.44423_32.41489?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,574168.3566761555,65185.58715914414,65185.58715914414,1869792.2539404663,1691125.3095493831,6097252.365795892,2443960.6106166216,1692381.1548737416,6097600.804658902
65,CH4_1B2_250m_-103.45056_32.35508?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,130.08261571460278,152.94097132486112,152.94097132486112,3283090.778698653,2847016.7973856376,9081434.05517081,3283220.8613143675,2847016.801493611,9081434.056458654
66,CH4_1B2_250m_-103.45148_32.45644?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,306.20331848247224,88.44399824751667,88.44399824751667,3294414.553185297,2955019.325854153,8158097.673564486,3294720.7565037794,2955019.3271777215,8158097.674043908
67,CH4_1B2_250m_-103.45429_32.42843?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,475.9169785023889,186.8576938686111,186.8576938686111,3279501.307743801,2875707.1013012226,5995204.044539643,3279977.224722303,2875707.1073720423,5995204.047451621
68,CH4_1B2_250m_-103.45499_32.04233?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,66212.77908775484,23081.392327361747,23081.392327361747,2977881.567756875,2567178.675957519,7512542.47447557,3044094.34684463,2567282.4357601893,7512577.93180685
69,CH4_1B2_250m_-103.46123_32.04214?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1523445.686592385,589513.2134042222,589513.2134042222,1827966.6983749853,1582639.4529988356,5197220.730879653,3351412.38496737,1688867.5101874112,5230547.691615421
70,CH4_1B2_250m_-103.46250_32.42318?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1490651.364662586,292137.35711643,292137.35711643,2026841.1624393605,1691253.7066271624,7029320.441057782,3517492.5271019465,1716299.3141066881,7035388.411345583
71,CH4_1B2_250m_-103.46410_32.06239?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,92998.13994243657,40829.54824081078,40829.54824081078,2786592.386107107,2448351.8520927085,10201134.026225397,2879590.5260495436,2448692.2721435097,10201215.73504958
72,CH4_1B2_250m_-103.46847_32.02199?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,129.9900543344083,82.51328662231666,82.51328662231666,2869356.2985981675,2474608.603823443,8537034.012297727,2869486.288652502,2474608.6051991032,8537034.012696486
73,CH4_1B2_250m_-103.46914_32.20323?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3697355.539133412,541961.3703802826,541961.3703802826,804746.8106462279,706336.8918031433,2995626.8343738187,4502102.349779639,890299.9111010847,3044257.258807964
74,CH4_1B2_250m_-103.47146_32.04832?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1079474.073972575,266416.3364309871,266416.3364309871,1881681.8721219501,1684640.3242409462,6249764.789485153,2961155.946094525,1705576.3502042205,6255440.639012228
75,CH4_1B2_250m_-103.48181_32.44199?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,428313.420546641,155444.46120336626,155444.46120336626,1689752.3020833957,1531034.7559931844,6652248.592119037,2118065.7226300365,1538905.5866354876,6654064.49561984
76,CH4_1B2_250m_-103.49452_32.85507?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,330435.951129585,151268.221080522,151268.221080522,2007712.1805885332,1792404.945346247,5748205.656971568,2338148.131718118,1798776.6850864363,5750195.679239864
77,CH4_1B2_250m_-103.49789_32.28229?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,322.6182274515278,70.0005053856111,70.0005053856111,3142530.9149582162,2541992.784775709,9021177.044915907,3142853.533185668,2541992.785739533,9021177.045187496
78,CH4_1B2_250m_-103.50133_32.10730?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,562469.0043290351,125170.93184562249,125170.93184562249,1863565.5900803474,1664818.7514063644,7213007.267643517,2426034.5944093824,1669517.666038113,7214093.262861057
79,CH4_1B2_250m_-103.50422_32.06184?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,3708691.559925217,1071794.9488375678,1071794.9488375678,1863565.5900803474,1664818.7514063644,7213007.267643517,3708691.559925217,1071794.9488375678,1071794.9488375678
80,CH4_1B2_250m_-103.50627_32.18929?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,412550.93222545995,253906.756055418,253906.756055418,1831386.0546060617,1584150.9468487317,5952385.942284639,2243936.9868315216,1604369.927159045,5957798.842414737
81,CH4_1B2_250m_-103.51450_32.44454?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1151229.6208249726,150020.59878673474,150020.59878673474,1859020.16236271,1588947.1459916325,4161986.363457344,3010249.7831876827,1596013.537791984,4164689.2644788297
82,CH4_1B2_250m_-103.51464_32.79657?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,1037899.3811080563,395220.267834918,395220.267834918,1835265.585068028,1596661.4155526552,5715908.558528876,2873164.9661760842,1644848.545010182,5729555.803862212
83,CH4_1B2_250m_-103.51797_32.76623?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,370.1570040954167,74.2002335075,74.2002335075,3112664.0357319135,2636735.884106978,8139930.435123796,3113034.192736009,2636735.88515101,8139930.435461985
84,CH4_1B2_250m_-103.52273_32.21485?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,496982.63294514304,199759.88982689934,199759.88982689934,1876685.4133608842,1682125.0982675508,6569594.235822281,2373668.046306027,1693944.762914444,6572630.5568572
85,CH4_1B2_250m_-103.52339_32.05316?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,72935.61016001426,31043.837464981276,31043.837464981276,2883122.4854470966,2370977.756692168,8825062.802903276,2956058.0956071108,2371180.980560863,8825117.404036706
86,CH4_1B2_250m_-103.52562_32.22008?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,271087.98123254336,231243.1378996999,231243.1378996999,1808532.9126119544,1578765.882306168,4087010.9998956644,2079620.8938444979,1595611.1994968178,4093547.6425826363
87,CH4_1B2_250m_-103.52664_32.05166?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,597487.9199272533,143996.41838663464,143996.41838663464,1694435.863243095,1438298.3351405775,5251748.065702524,2291923.7831703485,1445488.5227411306,5253721.79641427
88,CH4_1B2_250m_-103.52851_32.21728?datetime=2024-01-01T00%3A00%3A00.000Z%2F2025-01-01T23%3A59%3A59.999Z&status=not_deleted,2675597.0470413,277726.777320745,277726.777320745,2355846.785186818,1923546.5977726197,8532429.340549257,5031443.832228119,1943492.6489811034,8536948.08548739
